person,gesture,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15
ASUS,0,0.248343,0.515563,0.717909,0.8867,0.409064,0.540746,0.484447,0.433608,0.253183,0.439295,0.387696,0.323199,0.192414,0.37586,0.322243,0.254389,0.228759,0.346547,0.300715,0.247189,0.221541,0.423066,0.590658,0.157049,0.347063,0.280244,0.210524,0.164658,0.339217,0.272102,0.208454,0.291504,0.383175,0.326373,0.286137,0.41774,0.445875,0.401331,0.378188,0.154435,0.324952,0.121981,0.272086,0.222883,0.172731,0.32128,0.38257,0.332196,0.309595,0.495302,0.503316,0.46297,0.455845,0.63634,0.612247,0.577505,0.575599,0.124615,0.299366,0.368529,0.346886,0.326348,0.508674,0.522924,0.487499,0.483076,0.685558,0.664847,0.633532,0.63782,0.827858,0.786378,0.756458,0.761744,0.47105,0.516965,0.505929,0.493732,0.680595,0.681826,0.651985,0.652459,0.857623,0.829231,0.801052,0.808359,1,0.954207,0.925841,0.932934,0.155261,0.089899,0.019565,0.161613,0.219433,0.164178,0.140373,0.338711,0.333374,0.293686,0.291262,0.48114,0.444271,0.41144,0.414471,0.019058,0.090629,0.241571,0.128824,0.129588,0.175595,0.387382,0.287246,0.279,0.315442,0.517949,0.424088,0.409063,0.43671,0.023885,0.190488,0.128327,0.103646,0.131076,0.349764,0.277603,0.257673,0.282916,0.486204,0.408944,0.387632,0.408024,0.15516,0.16188,0.11511,0.112295,0.32775,0.291404,0.259479,0.269834,0.468839,0.412566,0.384632,0.395898,0.151938,0.091106,0.022755,0.129139,0.170792,0.11529,0.088573,0.271577,0.249755,0.210865,0.206483,0.019142,0.08674,0.240197,0.11084,0.111568,0.163033,0.356269,0.248681,0.237815,0.272694,0.022026,0.210818,0.129454,0.106119,0.137897,0.340528,0.257538,0.236337,0.259906,0.171426,0.148775,0.105417,0.109631,0.310366,0.256289,0.225476,0.235806,0.139167,0.092703,0.02942,0.094464,0.11991,0.071969,0.038709,0.011644,0.075148,0.217366,0.090511,0.087504,0.134752,0.019957,0.196802,0.105201,0.082505,0.113152,0.155468,0.114161,0.074346,0.078259,0.110885,0.085074,0.035997,0,0.052156,0.010657,0.092665,0.03248,0.085693,0.085193,1,0,0.061807,0.136339,0.241957,0.979998,0.681934,0.874087,0.950061,0.721901,1
ASUS,0,0.243746,0.50982,0.712314,0.882057,0.404285,0.534036,0.478226,0.428429,0.253552,0.434447,0.382793,0.319414,0.197042,0.375144,0.321664,0.254725,0.234561,0.349293,0.302804,0.250998,0.219199,0.420978,0.589557,0.155719,0.342399,0.275805,0.207033,0.167239,0.336659,0.269132,0.206823,0.293579,0.38525,0.328257,0.288548,0.419389,0.451147,0.404997,0.381099,0.153558,0.32503,0.121766,0.269445,0.219987,0.169865,0.320676,0.381794,0.330587,0.308372,0.494662,0.506262,0.464974,0.457484,0.635972,0.618163,0.58116,0.577268,0.12476,0.298312,0.365967,0.344044,0.323347,0.506873,0.521818,0.485577,0.481327,0.683945,0.667127,0.634751,0.638672,0.826737,0.791811,0.759539,0.762674,0.471178,0.516249,0.50478,0.492186,0.679882,0.682208,0.65149,0.651974,0.857107,0.832769,0.803464,0.81036,1,0.960892,0.930129,0.935003,0.150645,0.085267,0.015402,0.159728,0.217325,0.161494,0.138496,0.336995,0.335518,0.294984,0.29223,0.479947,0.449634,0.414556,0.415477,0.017897,0.088759,0.234394,0.128176,0.127528,0.172243,0.381382,0.288803,0.278473,0.313438,0.513468,0.428576,0.410619,0.434977,0.022167,0.184874,0.12897,0.102832,0.128943,0.345578,0.280824,0.258977,0.282693,0.483372,0.414924,0.390748,0.407957,0.15248,0.162969,0.115323,0.112065,0.326017,0.295899,0.26256,0.271744,0.468039,0.419853,0.3893,0.397756,0.144634,0.083901,0.017209,0.128332,0.169594,0.114244,0.089176,0.271322,0.253744,0.213298,0.207923,0.018548,0.084595,0.233116,0.111959,0.110141,0.159975,0.351082,0.25274,0.238833,0.270241,0.019619,0.205607,0.132598,0.107192,0.136931,0.337181,0.263335,0.239223,0.2594,0.16853,0.151813,0.107631,0.110746,0.30872,0.262494,0.229276,0.236881,0.132858,0.086896,0.024448,0.094018,0.118939,0.070003,0.038624,0.010554,0.072925,0.211157,0.092594,0.086974,0.131232,0.018105,0.1921,0.108494,0.083473,0.111132,0.151901,0.116552,0.07516,0.077256,0.103905,0.078611,0.032316,0,0.04979,0.007489,0.095667,0.038645,0.093505,0.086846,1,0,0.068546,0.141427,0.249129,0.979389,0.682511,0.877101,0.946451,0.729779,1
ASUS,0,0.250619,0.519511,0.719282,0.8855,0.408905,0.541791,0.492243,0.443449,0.258293,0.441571,0.393214,0.32975,0.200061,0.379246,0.328207,0.262172,0.234124,0.35088,0.306245,0.256231,0.222839,0.421776,0.586744,0.155955,0.34491,0.283456,0.21501,0.170706,0.3406,0.273435,0.210878,0.297503,0.389277,0.330754,0.291396,0.42211,0.453756,0.407297,0.385659,0.151491,0.319766,0.126148,0.269418,0.220717,0.168483,0.326018,0.384852,0.331179,0.309208,0.500334,0.511305,0.466516,0.459413,0.64078,0.62206,0.583805,0.582093,0.122403,0.301615,0.365448,0.340994,0.317919,0.510277,0.523596,0.48378,0.479672,0.687561,0.670907,0.634271,0.638237,0.829529,0.794149,0.760172,0.765153,0.471727,0.514018,0.498904,0.483875,0.680512,0.681927,0.647187,0.647631,0.857935,0.834424,0.800523,0.807228,1,0.960915,0.928232,0.934749,0.151753,0.089894,0.018593,0.160441,0.218001,0.159416,0.135075,0.337931,0.336853,0.292412,0.289343,0.480098,0.44933,0.41269,0.41534,0.013888,0.085233,0.238293,0.130783,0.125279,0.170139,0.386374,0.294125,0.278715,0.313153,0.518401,0.432795,0.412385,0.43771,0.023116,0.19518,0.134815,0.106004,0.132994,0.356283,0.290013,0.264137,0.288106,0.493547,0.423385,0.397407,0.416278,0.163827,0.168305,0.118998,0.117096,0.337468,0.305153,0.268363,0.278202,0.478791,0.428689,0.396707,0.407235,0.14737,0.089484,0.023223,0.129196,0.170702,0.113241,0.08706,0.271427,0.253157,0.211593,0.207879,0.018981,0.084163,0.237162,0.115438,0.108977,0.15851,0.355121,0.255308,0.239079,0.271316,0.020385,0.213602,0.138955,0.109806,0.139524,0.34488,0.269222,0.243324,0.264918,0.175729,0.15586,0.108998,0.112788,0.315217,0.266722,0.23227,0.241922,0.13423,0.091747,0.030519,0.093898,0.118558,0.070234,0.039806,0.011471,0.071287,0.212724,0.092362,0.084404,0.128841,0.017775,0.197931,0.112228,0.085566,0.113989,0.157432,0.118111,0.076343,0.08087,0.1056,0.083185,0.036394,0,0.046557,0.006633,0.119376,0.064215,0.115715,0.113202,1,0,0.11919,0.193523,0.291273,0.981412,0.701543,0.886445,0.955967,0.744415,1
ASUS,0,0.237609,0.484965,0.672591,0.821912,0.340213,0.49768,0.482071,0.426949,0.171994,0.414117,0.401741,0.337791,0.153598,0.369573,0.341669,0.280398,0.240257,0.353019,0.328388,0.285772,0.226088,0.41372,0.562364,0.113186,0.341171,0.319856,0.255059,0.165896,0.35458,0.319708,0.257701,0.319171,0.412358,0.365375,0.320682,0.449844,0.474741,0.436867,0.408609,0.165308,0.314717,0.151388,0.301235,0.28102,0.237685,0.364609,0.421778,0.378525,0.348167,0.536398,0.545751,0.497105,0.476486,0.671351,0.647888,0.607657,0.591981,0.128125,0.327137,0.389983,0.3762,0.359165,0.543275,0.548382,0.506835,0.494625,0.715527,0.692492,0.646077,0.636324,0.850259,0.807752,0.767773,0.757707,0.477273,0.513874,0.503453,0.496467,0.693278,0.681858,0.641899,0.636354,0.86542,0.831944,0.786831,0.781019,1,0.951526,0.911827,0.903777,0.216204,0.193999,0.130356,0.193775,0.27633,0.23486,0.188979,0.366072,0.37995,0.330795,0.304869,0.500913,0.475399,0.435231,0.418397,0,0.064097,0.304883,0.15455,0.122766,0.154999,0.43876,0.315285,0.278168,0.296808,0.555465,0.448818,0.412699,0.419353,0.042432,0.290452,0.158922,0.123406,0.147112,0.429539,0.317511,0.278225,0.292604,0.54892,0.44899,0.412038,0.416463,0.239594,0.167807,0.125537,0.121213,0.390883,0.313117,0.268645,0.270294,0.516491,0.436336,0.397497,0.395504,0.228599,0.210416,0.144633,0.149918,0.234726,0.192039,0.138797,0.284827,0.286463,0.248648,0.220832,0.020862,0.074601,0.305626,0.139205,0.107247,0.143164,0.403157,0.275079,0.241074,0.254418,0.04504,0.309761,0.171806,0.133037,0.155667,0.417108,0.303771,0.267546,0.27541,0.261475,0.176567,0.129191,0.126889,0.37947,0.293464,0.254283,0.252123,0.212944,0.198925,0.143306,0.112587,0.17703,0.153749,0.110374,0.026795,0.07429,0.270512,0.115157,0.085638,0.112159,0.038881,0.278388,0.148403,0.112345,0.125394,0.239249,0.149511,0.109324,0.102847,0.166164,0.170672,0.136018,0.017849,0.047302,0.021657,0.144248,0.052882,0.099687,0.097057,1,0,0.313151,0.354281,0.487538,0.967274,0.650951,0.876738,0.803086,0.61144,1
ASUS,0,0.237463,0.503054,0.6955,0.861243,0.36573,0.521535,0.472146,0.416278,0.189404,0.418813,0.37747,0.310338,0.138891,0.363646,0.310806,0.23623,0.207664,0.344828,0.300367,0.239492,0.222502,0.41423,0.578375,0.112674,0.341865,0.286359,0.207816,0.133661,0.339916,0.281645,0.206275,0.287738,0.394153,0.335217,0.283608,0.42174,0.465785,0.421527,0.389313,0.145906,0.312483,0.112268,0.264593,0.227938,0.169801,0.327813,0.387203,0.33933,0.303101,0.508415,0.516934,0.471858,0.454221,0.648444,0.634659,0.598418,0.588382,0.121685,0.295939,0.353833,0.340943,0.31522,0.512419,0.519803,0.483255,0.466404,0.692686,0.669217,0.632213,0.626661,0.832181,0.799287,0.767129,0.764784,0.464157,0.495971,0.492764,0.477421,0.680534,0.672779,0.641138,0.630461,0.860659,0.827725,0.793972,0.792196,1,0.961614,0.931011,0.931018,0.199292,0.146005,0.064855,0.170331,0.258741,0.203768,0.152422,0.350977,0.368277,0.31911,0.296332,0.490863,0.478606,0.441109,0.429608,0.00898,0.08933,0.285621,0.140462,0.131002,0.170178,0.423386,0.304614,0.288059,0.317418,0.544039,0.449651,0.429924,0.451617,0.034905,0.236951,0.133502,0.107026,0.128401,0.384727,0.291363,0.265883,0.285068,0.510869,0.431964,0.407773,0.422913,0.187973,0.170881,0.125044,0.107419,0.354689,0.308542,0.27053,0.270876,0.48899,0.437889,0.407169,0.410806,0.202425,0.151812,0.077548,0.134157,0.217631,0.157599,0.103571,0.27414,0.287422,0.244368,0.220118,0.011984,0.088359,0.277391,0.117992,0.110379,0.159919,0.378456,0.264231,0.248384,0.279178,0.031793,0.252662,0.140047,0.112582,0.141344,0.367418,0.278439,0.254715,0.274075,0.209899,0.169327,0.122249,0.117146,0.338849,0.287081,0.254217,0.257147,0.185237,0.140006,0.071913,0.093493,0.163882,0.11793,0.064206,0.013892,0.084525,0.243128,0.100587,0.092236,0.139434,0.028161,0.223003,0.121208,0.095644,0.122379,0.180103,0.139071,0.098693,0.093461,0.141127,0.114288,0.057165,0,0.059676,0.01912,0.064519,0.008938,0.076559,0.088681,1,0,0.076566,0.13784,0.215937,0.960212,0.645417,0.835446,0.907592,0.688723,1
ASUS,0,0.229294,0.504305,0.698399,0.865688,0.374368,0.519095,0.46964,0.418425,0.18986,0.414134,0.370381,0.301807,0.122056,0.354735,0.299046,0.221153,0.191719,0.332793,0.284709,0.221418,0.229397,0.422821,0.588896,0.118107,0.336526,0.281266,0.206462,0.106888,0.32762,0.268716,0.190336,0.261944,0.376945,0.320717,0.270929,0.40336,0.446101,0.405218,0.378093,0.14592,0.314178,0.098633,0.257678,0.222438,0.16289,0.313129,0.379302,0.333883,0.298037,0.496618,0.508688,0.47046,0.457887,0.643521,0.625661,0.596826,0.594791,0.121462,0.2859,0.351536,0.340329,0.311681,0.501345,0.516191,0.482924,0.466523,0.684378,0.665135,0.635657,0.635001,0.830631,0.794087,0.770258,0.776058,0.455549,0.495458,0.493877,0.475286,0.670957,0.67083,0.642704,0.632469,0.853888,0.825335,0.799307,0.802361,1,0.958048,0.936072,0.944215,0.198581,0.146753,0.06709,0.167527,0.261965,0.208769,0.158399,0.350945,0.372184,0.329422,0.311883,0.497647,0.481953,0.451464,0.447983,0.007077,0.085317,0.281711,0.137266,0.132147,0.173381,0.419482,0.301168,0.293238,0.328121,0.544986,0.445014,0.435877,0.467624,0.031822,0.231622,0.128796,0.106391,0.130301,0.379062,0.286301,0.269328,0.294376,0.510257,0.425792,0.411681,0.436832,0.183497,0.168289,0.125666,0.110729,0.35098,0.30611,0.276058,0.282553,0.491078,0.434719,0.413002,0.426241,0.205081,0.150884,0.072268,0.135332,0.223785,0.166351,0.117412,0.282206,0.293746,0.255253,0.238469,0.010797,0.090455,0.277349,0.116133,0.117146,0.171269,0.381611,0.261191,0.256463,0.297691,0.032757,0.247136,0.134458,0.114968,0.149192,0.365704,0.271325,0.257634,0.287304,0.200669,0.165746,0.124237,0.123707,0.335125,0.28061,0.255585,0.267532,0.188287,0.136735,0.061584,0.098765,0.169143,0.12128,0.072323,0.011785,0.086832,0.246814,0.097719,0.100943,0.157774,0.029706,0.218302,0.110564,0.094612,0.132678,0.168678,0.128279,0.092194,0.095722,0.145533,0.108835,0.040971,0,0.068694,0.024513,0.054859,0,0.083798,0.098633,1,0.016411,0.032196,0.072176,0.127402,0.969837,0.618172,0.78962,0.939268,0.677065,1
ASUS,0,0.221596,0.482158,0.684377,0.843036,0.341161,0.486315,0.434477,0.380869,0.181356,0.393191,0.350668,0.283458,0.143241,0.341471,0.289305,0.218789,0.212495,0.322749,0.274206,0.218787,0.210029,0.411377,0.569248,0.103943,0.315202,0.251495,0.177657,0.138183,0.320134,0.25666,0.188237,0.282574,0.372175,0.310342,0.267794,0.415281,0.43992,0.389284,0.363125,0.150264,0.311542,0.12362,0.264221,0.216639,0.167652,0.329062,0.384876,0.330189,0.302636,0.500447,0.506174,0.45605,0.445903,0.640421,0.616475,0.573243,0.56723,0.111479,0.31556,0.377521,0.35392,0.333607,0.524214,0.535823,0.491958,0.481854,0.696275,0.675245,0.632286,0.632814,0.836305,0.797005,0.757587,0.758104,0.47925,0.524499,0.508756,0.49486,0.6879,0.690588,0.650313,0.644041,0.859963,0.834102,0.793208,0.795824,1,0.958449,0.919949,0.921519,0.170491,0.106742,0.03151,0.156438,0.231149,0.16993,0.129675,0.328497,0.335493,0.282516,0.270072,0.468536,0.441066,0.397431,0.392243,0.01195,0.087547,0.253968,0.125096,0.111189,0.155975,0.389118,0.279915,0.258207,0.293009,0.512599,0.417667,0.392379,0.416961,0.023439,0.205971,0.129855,0.093425,0.11609,0.354806,0.275773,0.242792,0.265291,0.485137,0.407546,0.376149,0.392863,0.164575,0.165266,0.110906,0.097825,0.328766,0.291059,0.246462,0.251755,0.465572,0.411401,0.373376,0.379623,0.172399,0.12096,0.050301,0.119847,0.184642,0.12215,0.078244,0.259915,0.252534,0.203508,0.187594,0.011916,0.081757,0.248559,0.103186,0.092117,0.145661,0.354069,0.242403,0.222098,0.255827,0.022013,0.228648,0.131604,0.09775,0.130096,0.349231,0.261931,0.231845,0.253642,0.186626,0.153855,0.101199,0.102151,0.319217,0.26342,0.223697,0.230432,0.155414,0.115111,0.050726,0.087878,0.131255,0.080504,0.033183,0.010328,0.073342,0.221146,0.087889,0.076811,0.125542,0.018397,0.209785,0.113496,0.082123,0.111496,0.168015,0.122775,0.075737,0.076165,0.115004,0.094498,0.046187,0,0.052275,0.009072,0.130163,0.070203,0.128251,0.131437,1,0,0.155844,0.224619,0.317413,0.993892,0.683556,0.885447,0.899424,0.680342,1
ASUS,0,0.220869,0.480254,0.67067,0.840007,0.336397,0.44655,0.409303,0.374961,0.152541,0.351224,0.311133,0.249218,0.100445,0.307765,0.251741,0.180733,0.185477,0.303885,0.254164,0.200339,0.211247,0.400568,0.568976,0.085787,0.285133,0.233065,0.166667,0.105712,0.298968,0.234566,0.165353,0.267855,0.363647,0.302945,0.262668,0.40655,0.442203,0.397093,0.375729,0.140547,0.312508,0.106059,0.256185,0.214037,0.152276,0.318312,0.386927,0.332244,0.302436,0.497424,0.513429,0.46713,0.4573,0.639034,0.627947,0.592197,0.590389,0.123498,0.293787,0.378919,0.353269,0.313667,0.506475,0.539809,0.494254,0.478333,0.685207,0.679597,0.639837,0.638428,0.826321,0.802385,0.770266,0.773863,0.467176,0.538002,0.518486,0.484962,0.679949,0.705846,0.663621,0.65108,0.858803,0.849044,0.811371,0.811773,1,0.974003,0.942878,0.947444,0.180676,0.127308,0.050954,0.162546,0.258491,0.196863,0.153093,0.341531,0.368268,0.317442,0.302296,0.482994,0.475836,0.438223,0.434341,0.003418,0.079535,0.244932,0.127275,0.110053,0.149451,0.375759,0.279196,0.260236,0.292091,0.495944,0.414349,0.396026,0.423102,0.026423,0.206525,0.137122,0.101108,0.120497,0.351963,0.283369,0.254571,0.275627,0.479388,0.414481,0.390773,0.410814,0.176705,0.184464,0.131943,0.1182,0.342806,0.316386,0.276185,0.280854,0.478782,0.438814,0.408377,0.417954,0.181232,0.126027,0.054313,0.128875,0.212088,0.149778,0.106905,0.270543,0.286663,0.242512,0.227188,0.014676,0.085177,0.240258,0.102002,0.093196,0.144632,0.338472,0.238071,0.224076,0.260027,0.02379,0.219636,0.13522,0.103314,0.132203,0.335725,0.26347,0.239643,0.263103,0.18149,0.165364,0.11467,0.112451,0.312556,0.27544,0.241699,0.249589,0.163154,0.11456,0.0469,0.091519,0.156865,0.106631,0.063231,0.013027,0.078663,0.213855,0.086445,0.080797,0.131842,0.020857,0.19546,0.112394,0.086144,0.116601,0.153942,0.129571,0.08689,0.086911,0.123405,0.091054,0.031781,0,0.058345,0.014709,0.118854,0.077799,0.165535,0.166659,1,0,0.133112,0.174171,0.229846,0.994916,0.598709,0.784972,0.927827,0.687787,1
ASUS,0,0.206543,0.475111,0.669352,0.847238,0.353798,0.43079,0.394064,0.365218,0.151078,0.325158,0.283379,0.230594,0.050143,0.276282,0.222915,0.154576,0.154403,0.278251,0.228654,0.163836,0.226577,0.419762,0.597403,0.105719,0.258488,0.215189,0.154046,0.038082,0.259144,0.196419,0.116155,0.217807,0.329178,0.26478,0.209316,0.37142,0.407946,0.356166,0.318895,0.152015,0.334524,0.077946,0.215417,0.192494,0.130555,0.286549,0.356924,0.311274,0.272385,0.470505,0.497738,0.446811,0.420831,0.622109,0.609255,0.564691,0.547802,0.141263,0.272673,0.354486,0.348239,0.308306,0.481925,0.524126,0.488107,0.461118,0.665682,0.676417,0.630832,0.611454,0.816758,0.793792,0.751837,0.739467,0.4533,0.530298,0.528442,0.492546,0.663279,0.704915,0.671369,0.645748,0.84814,0.859484,0.815018,0.796038,1,0.977911,0.936337,0.923967,0.193365,0.155308,0.075845,0.166619,0.283315,0.227633,0.170973,0.351941,0.404331,0.34753,0.312003,0.50473,0.506824,0.459348,0.436059,0,0.075637,0.253031,0.138765,0.127839,0.156914,0.379974,0.300955,0.272452,0.284221,0.50511,0.427013,0.39547,0.4056,0.03613,0.212313,0.133117,0.107581,0.12174,0.348149,0.290924,0.25515,0.25827,0.479162,0.414382,0.379048,0.383176,0.172551,0.183217,0.138353,0.113717,0.335551,0.326214,0.279158,0.264049,0.478703,0.442117,0.400626,0.392562,0.206207,0.146315,0.068208,0.142601,0.252818,0.187596,0.128656,0.296182,0.326742,0.274799,0.238049,0.019414,0.099909,0.249803,0.119216,0.1007,0.137787,0.346331,0.246081,0.218577,0.240028,0.037525,0.218077,0.144961,0.104249,0.114582,0.33454,0.264843,0.22815,0.234429,0.184085,0.19056,0.133338,0.107406,0.322329,0.294218,0.248937,0.235908,0.183408,0.133118,0.070116,0.110454,0.1906,0.139024,0.078478,0.022133,0.091273,0.218135,0.08397,0.065553,0.111132,0.028659,0.203575,0.119616,0.080533,0.096181,0.17772,0.155825,0.105357,0.085168,0.142454,0.116923,0.065331,0.009931,0.07111,0.024234,0.053705,0,0.117447,0.145496,0.97897,0.07672,0.00791,0.128408,0.252825,0.997559,0.502541,0.61778,1,0.632479,1
ASUS,0,0.208079,0.476672,0.659649,0.834612,0.333721,0.433301,0.395518,0.361013,0.139348,0.329929,0.284695,0.227443,0.06227,0.281831,0.225504,0.156355,0.167727,0.282862,0.233617,0.174669,0.22519,0.407214,0.581203,0.087907,0.268644,0.223377,0.156338,0.065677,0.276625,0.212297,0.134111,0.238888,0.342439,0.279136,0.228455,0.389537,0.420664,0.372627,0.343278,0.137953,0.31641,0.099617,0.229469,0.20339,0.142739,0.30589,0.373919,0.32713,0.289848,0.487888,0.508273,0.459744,0.438201,0.638458,0.620701,0.580812,0.571478,0.135735,0.282711,0.351104,0.341782,0.304341,0.488657,0.524487,0.487782,0.463236,0.66998,0.671302,0.628743,0.614429,0.81985,0.790465,0.753571,0.749185,0.461266,0.521561,0.517286,0.484739,0.667599,0.700673,0.666883,0.644282,0.849631,0.850254,0.809108,0.795517,1,0.970772,0.934397,0.930236,0.186111,0.143836,0.063481,0.160981,0.27091,0.213539,0.15879,0.343288,0.384348,0.329773,0.299837,0.494239,0.487692,0.445005,0.430635,0,0.077721,0.256629,0.141583,0.131012,0.161402,0.387146,0.299856,0.275903,0.292711,0.513829,0.429043,0.403501,0.421327,0.035021,0.215822,0.138039,0.11207,0.126833,0.355951,0.291117,0.259294,0.267362,0.488457,0.417306,0.387701,0.399621,0.176319,0.186036,0.14015,0.117289,0.340782,0.323016,0.279065,0.269247,0.484074,0.440777,0.404591,0.404768,0.201127,0.14038,0.063585,0.137415,0.237207,0.172501,0.117819,0.288886,0.309691,0.261603,0.234129,0.018974,0.098384,0.251786,0.113622,0.10137,0.142824,0.351376,0.243905,0.2231,0.251921,0.034596,0.219591,0.138166,0.101871,0.118123,0.338213,0.260817,0.230278,0.244972,0.184439,0.18074,0.125932,0.106722,0.322698,0.285722,0.245804,0.242228,0.177964,0.12719,0.064604,0.106259,0.17792,0.127737,0.073917,0.019965,0.087564,0.222514,0.085372,0.072909,0.120805,0.025191,0.205275,0.116374,0.083054,0.105199,0.175973,0.147304,0.101019,0.090169,0.139115,0.11187,0.056927,0.005522,0.06476,0.020486,0.044766,0,0.111359,0.136263,1,0.019829,0.003547,0.111742,0.22322,0.992817,0.544033,0.672067,0.937681,0.612605,1
